ID	sentence	question	1	2	Answer
687	유리컵을 바닥에 떨어트렸다.	결과	유리컵이 깨졌다.	유리컵을 씻었다.	1
688	면도기로 다리 털을 밀었다.	결과	다리털이 깎였다.	다리 털이 길어졌다.	1
689	눈이 녹았다.	원인	눈사람을 만들었다.	날이 따뜻해졌다.	2
690	검은 옷과 하얀 옷을 같이 빨래했다.	결과	검은 옷이 하얗게 탈색되었다.	하얀 옷이 검게 물들었다.	2
691	콘서트에 갔다. 	결과	공부를 했다. 	좋아하는 가수를 봤다. 	2
692	배달 어플을 설치했다.	결과	배달원이 되었다.	배달 음식을 주문했다.	2
693	탈색을 너무 많이 했다.	결과	머릿결이 많이 상했다.	머리를 감지 않았다.	1
694	맞춤법이 헷갈린다	결과	인터넷에서 맞춤법을 찾아본다.	맞춤법을 학생들에게 가르친다.	1
695	남자는 햇빛 때문에 운전하기가 어렵다.	결과	남자는 선글라스를 착용했다.	남자는 넥타이를 착용했다.	1
696	노트북을 오랜 시간 사용했다.	결과	노트북이 방전되었다.	노트북에서 음악이 나왔다.	1
697	머리카락이 배수구에 꼈다.	결과	사용한 물이 잘 내려가지 않는다.	배수구에서 거품이 난다.	1
698	남자가 파산했다.	원인	저축을 열심히 했다.	투자를 잘못 했다.	2
699	비가 온다.	결과	강아지가 짖는다.	나뭇잎에 물이 맺힌다.	2
700	부동산에 방문했다.	원인	이사를 준비하고 있다.	대학 진학을 준비하고 있다.	1
701	밤에 정전이 되었다.	결과	아침이 되었다.	길거리가 다 깜깜해졌다.	2
702	편지 봉투를 밀봉했다.	원인	편지를 부치려고 한다.	편지를 읽으려고 한다.	1
703	안경을 새로 맞췄다.	원인	이사 준비를 했다.	시력이 나빠졌다.	2
704	테니스 동호회에 가입했다.	결과	매주 야구를 한다.	매주 테니스를 친다.	2
705	건물에 화재경보가 울렸다.	결과	건물에 불이 났다.	사람들이 건물 밖으로 대피했다.	2
706	무거운 가방을 매고 걸었다.	결과	어깨가 아팠다.	가방이 검은색이다.	1
707	남자의 손에 수갑이 채워졌다.	원인	남자는 경찰에게 체포되었다.	남자는 경찰이 되었다.	1
708	여자는 트로피를 받았다.	원인	여자는 대회에서 우승했다.	여자는 대회에서 예선 탈락했다.	1
709	여성은 코감기에 걸렸다.	결과	여성은 피부가 간지럽다.	여성은 콧물이 난다.	2
710	눈사람을 만들었다.	원인	눈이 많이 내렸다.	눈이 다 녹았다.	1
711	여자는 책상 다리에 종아리를 찧었다.	결과	여자의 종아리가 매끈해졌다.	여자의 종아리에 멍이 들었다.	2
712	수건을 빨았다.	원인	수건이 깨끗하다.	수건에서 냄새난다.	2
713	비타민을 주기적으로 복용했다.	결과	몸이 찌뿌둥해졌다.	피부가 좋아졌다.	2
714	고장난 전구를 새 것으로 교체했다.	결과	전구에 불이 들어온다.	전구에 불이 꺼진다.	1
715	수영 선수가 경기에서 우승했다.	결과	낮잠을 잤다.	금메달을 받았다.	2
716	벽지에 곰팡이가 피었다.	원인	집이 눅눅하다.	집이 건조하다.	1
717	물을 냉장고에 얼렸다.	결과	물이 끓었다.	얼음이 만들어졌다.	2
718	소년의 머리가 뜨겁다.	결과	엄마가 소년을 데리고 공원에 갔다.	엄마가 소년의 체온을 측정했다.	2
719	노트북에서 여러가지 프로그램을 작동시켰다.	결과	노트북의 배터리가 충전되었다.	노트북에 발열현상이 일어났다.	2
720	수영장에서 다이빙을 했다.	결과	살이 까맣게 탔다.	물에 빠졌다.	2
721	카페트가 젖었다.	원인	카페트를 발로 밟았다.	카페트에 물을 흘렸다.	2
722	솜인형에 구멍이 뚫렸다.	결과	인형의 솜이 채워졌다.	인형의 솜이 빠져나왔다.	2
723	스마트폰에서 찰칵 소리가 났다.	원인	스마트폰 어플로 콜라주를 만들었다.	스마트폰 카메라로 사진을 찍었다.	2
724	음료수를 냉장고에 넣었다.	결과	음료수가 뜨겁다.	음료수가 차갑다.	2
725	긴장되는 격투기 경기를 보았다.	결과	격투기 경기가 아직 시작하지 않았다.	긴장하여 손에서 땀이 난다.	2
726	밀가루가 뭉쳐서 덩어리가 되었다.	원인	밀가루에 물을 부었다.	밀가루를 그릇에 부었다.	1
727	강아지에게 목줄을 채웠다.	원인	강아지를 씻기려고 한다.	강아지와 산책을 나가려고 한다.	2
728	마스크를 썼다.	원인	공기가 상쾌하다.	미세먼지가 많다.	2
729	소년은 오늘 나무를 심었다.	원인	오늘은 광복절이다.	오늘은 식목일이다.	2
730	남자가 교도소에 수감되었다.	원인	남자는 중범죄를 저질렀다.	남자는 사람을 구했다.	1
731	아이가 물장구를 쳤다.	결과	물이 잔잔해졌다.	물이 이리저리 튀었다.	2
732	땀이 나서 부채질을 했다.	결과	땀이 바람에 증발했다.	방 안의 온도가 올라갔다.	1
733	문을 열었다.	원인	초인종이 울렸다.	문에 도어락을 설치했다.	1
734	여자가 여행 가이드 책자를 펼쳤다.	원인	여자는 여행 일정을 짜고 있었다.	여자는 여행 책자를 작성했다.	1
735	발의 각질을 제거해서 매끈해졌다.	원인	입술 스크럽을 했다.	발 스크럽을 했다.	2
736	강도가 창문을 깨고 들어왔다.	결과	집 주인이 잠에 들었다.	경보 알람이 울렸다.	2
737	남자가 토를 했다.	원인	남자는 상한 우유를 마셨다.	남자는 싱싱한 채소를 먹었다.	1
738	화재 경보가 울렸다.	원인	화재가 났다.	비가 많이 왔다.	1
739	신호등이 파란불로 바뀌었다.	결과	차가 출발했다.	식사를 했다.	1
740	운동화에 깔창을 깔았다.	결과	키가 커졌다.	키가 작아졌다.	1
741	유산균을 먹었다.	결과	소화가 잘 되지 않는다.	소화가 잘 된다.	2
742	바람이 세게 불었다.	결과	나무들이 쓰러졌다.	홍수가 났다.	1
743	청바지에서 물이 빠진다.	결과	청바지의 색이 변했다.	청바지의 색이 그대로 유지되었다.	1
744	남자가 지갑을 잃어버렸다.	원인	지갑을 잘 간수하지 못했다.	지갑에 쓰레기가 많았다.	1
745	남자가 갑자기 정신을 잃고 쓰러졌다.	원인	심장마비가 일어났다.	심장이 기분 좋게 두근거렸다.	1
746	여자의 피부에 딱지가 생겼다.	원인	여자의 피부에 원래 흉터가 있었다.	여자의 피부에 상처가 있었다.	2
747	연못에서 스케이트를 탔다.	원인	연못이 녹아있다.	연못이 얼어있다.	2
748	애플 파이를 부엌에서 구웠다.	결과	빵 굽는 냄새가 부엌을 가득 채웠다.	부엌에 썩는 냄새가 난다.	1
749	희수가 교과서에서 모르는 단어를 발견했다. 	결과	사전에서 단어 뜻을 찾아본다.	교과서를 바닥에 던진다.	1
750	여자는 아침에 늦잠을 잤다.	원인	여자는 전날 밤을 샜다.	여자는 전날 일찍 잠에 들었다.	1
751	여성이 그림 그리기 대회에서 수상을 했다.	원인	여성이 사진을 잘 찍었다.	 여성이 그림을 잘 그렸다.	2
752	머리에 껌이 붙었다.	결과	머리가 개운해졌다.	머리를 일부 잘라내었다.	2
753	손톱 거스러미가 생겼다.	원인	손이 건조하다.	손이 촉촉하다.	1
754	남성의 집에 자꾸 벌레가 나온다.	결과	남성의 집에 오래된 물건들이 많다.	남성은 집을 소독한다.	2
755	이에 고춧가루가 꼈다.	원인	제육볶음을 먹었다.	물을 마셨다.	1
756	경첩에 기름칠을 했다.	원인	경첩에서 소리가 난다.	경첩을 새로 구매했다.	1
757	여성이 회사 근처에 방을 구했다.	결과	여성의 출퇴근 시간이 늘어났다.	여성의 출퇴근 시간이 줄어들었다.	2
758	여자가 스웨터를 입었다.	원인	여자는 덥다고 느꼈다.	여자는 춥다고 느꼈다.	2
759	콩을 심었다.	결과	팥을 수확했다.	콩을 수확했다.	2
760	인형 눈알 달기 알바를 시작했다.	원인	월세 내기 충분한 돈을 가졌다.	월세 내기 빠듯한 돈을 가졌다.	2
761	여성의 배에 11자 복근이 생겼다.	원인	여성이 복근 운동을 열심히 했다.	여성이 팔 운동을 열심히 했다.	1
762	귤을 손에 넣고 주먹을 꽉 쥐었다.	결과	귤의 껍질이 단단해졌다.	귤이 터져 즙이 흘러내렸다.	2
763	놀이공원에 갔다.	결과	놀이공원이 폐쇄됐다.	놀이기구를 탔다.	2
764	도장에 인주를 묻혀 종이에 찍었다.	결과	종이에 아무 자국도 남지 않았다.	종이에 붉은 자국이 남았다.	2
765	남자는 도서관에 갔다.	결과	남자는 책을 대출했다.	남자는 영화를 봤다.	1
766	강아지가 현관문 앞에서 사납게 짖었다.	원인	모르는 사람이 집 안으로 들어왔다.	가족이 집 안으로 들어왔다.	1
767	아빠가 찌개에 소금을 넣었다.	원인	찌개가 싱거웠다.	찌개의 간이 딱 맞았다.	1
768	음식이 차갑게 식었다.	결과	전자레인지를 사용한다.	냉장고를 사용한다.	1
769	여자가 미백 크림을 발랐다.	결과	여자의 얼굴이 하얘졌다.	여자의 얼굴이 탔다.	1
770	그는 라디오 볼륨을 높였다.	원인	 좋아하는 음악이 라디오에서 나왔다.	싫어하는 음악이 라디오에서 나왔다.	1
771	옷이 땀에 젖었다.	원인	두 시간 동안 러닝을 했다.	옷을 새로 구입했다.	1
772	허리가 아프다.	원인	오래 숨을 참았다.	오래 누워 있었다.	2
773	손톱을 깎았다.	원인	발톱이 길어졌다.	손톱이 길어졌다.	2
774	코감기에 걸렸다.	결과	코가 막힌다.	목소리가 나오지 않는다.	1
775	눈에 모래가 들어갔다	결과	눈이 따갑다.	눈이 잘 보인다.	1
776	부부가 아파트 계약서에 서명을 했다.	결과	시는 아파트 건축을 반대했다.	부부는 아파트에 입주했다.	2
777	토끼가 귀를 쫑긋거린다.	원인	토끼가 아무런 소리도 듣지 못했다.	토끼가 어떤 소리를 들었다.	2
778	그릇을 식기세척기에 넣었다.	결과	그릇이 깨끗이 닦였다.	그릇에 파스타를 담았다.	1
779	여자가 반갑게 손을 흔들었다.	원인	여자가 우연히 아는 사람을 마주쳤다.	여자가 우연히 모르는 사람을 마주쳤다.	1
780	남성은 구명조끼를 입었다.	원인	남성은 물놀이를 하고 있다.	남성은 달리기를 하고 있다.	1
781	남자가 물에 빠졌으나 가라앉지 않았다.	원인	남자는 구명조끼를 착용하고 있었다.	남자는 맨몸으로 물에 빠졌다.	1
782	여성은 높은 강도로 운동을 했다.	결과	여성의 체력이 저하된다.	여성은 땀을 흘린다.	2
783	여성이 이비인후과에 방문했다.	원인	여성은 두통이 있다.	여성은 목에 염증이 생겼다.	2
784	작아진 옷을 동생들에게 물려주었다.	원인	옷이 별로 없다.	옷이 작아졌다.	2
785	바지가 흘러내린다.	원인	바지 고무줄이 늘어났다.	바지 단추를 채웠다.	1
786	정부에 의헤 강제로 물가 인상이 억제되었다.	원인	물가 인플레이션 문제가 심각해졌다.	물가가 심각하게 떨어졌다.	1
787	배송받은 옷이 불량이다.	결과	배송비를 냈다.	옷을 반품했다.	2
788	불판의 고기를 뒤집었다.	원인	고기에서 연기가 났다.	고기를 추가로 주문했다.	1
789	소화제를 먹었다.	원인	모니터를 오래 봐서 눈이 아프다.	점심에 과식을 해서 소화가 잘 안 된다.	2
790	남자가 이쑤시개를 사용했다.	원인	남자의 치아에 이물질이 꼈다.	남자가 방금 양치질을 마쳤다.	1
791	운동화가 다 닳았다.	결과	운동화를 새로 구입했다.	운동화를 세탁소에 맡겼다.	1
792	남자는 지갑을 집에 두고 나왔다.	결과	남자는 외상으로 물건을 구입했다.	남자는 물건을 만들었다.	1
793	신발이 벗겨졌다.	원인	신발이 작다.	신발이 크다.	1
794	집주인이 세입자를 싫어하게 되었다.	원인	세입자가 집을 엉망으로 만들었다.	세입자가 집을 깨끗하게 사용했다.	1
795	여자가 로션을 잔뜩 발랐다.	원인	여자의 피부가 충분히 촉촉하다.	여자의 피부가 건조하다.	2
796	게임이 너무 재밌다.	결과	밤을 새웠다.	밤이 깊었다.	1
797	노트북이 꺼졌다.	원인	노트북 배터리가 방전되었다.	노트북 품질 보증기간이 지났다.	1
798	이웃집의 문을 두드렸다.	결과	이웃이 문을 열고 나왔다.	이웃이 이사를 갔다.	1
799	엄마가 아이를 위해 죽을 사왔다.	원인	아이의 손에 상처가 났다.	아이가 배탈이 났다.	2
800	동생은 배탈이 났다.	원인	동생은 과식을 했다.	동생은 편식을 했다.	1
801	귤 껍질을 햇빛이 잘 드는 곳에 두었다.	결과	마른 귤 껍질을 물에 불렸다.	귤 껍질에 있는 수분이 날아갔다.	2
802	살인사건이 일어났다.	결과	경찰이 수사를 종료했다.	경찰이 수사를 시작했다.	2
803	치마를 수선했다.	원인	여자는 치마 길이가 마음에 들었다.	여자의 생각보다 치마가 길었다.	2
804	남자가 비밀번호를 변경했다.	원인	남자의 계정이 해킹당했다.	남자는 계정 보안에 무관심했다.	1
805	눈에 먼지가 들어갔다.	결과	인공눈물로 눈을 세척했다.	주스로 눈을 세척했다.	1
806	장작에 불을 붙였다.	결과	장작에서 연기가 났다.	장작을 채웠다.	1
807	소년은 등이 아팠다.	원인	소년의 가방이 열려있었다.	소년의 가방이 까슬거렸다.	2
808	여자가 새치 염색을 했다.	결과	여자의 흰머리가 검은색으로 염색되었다.	여자의 검은머리가 흰색으로 염색되었다.	1
809	바닥에 물을 쏟았다.	결과	카페트가 축축해졌다.	카페트가 바짝 말랐다.	1
810	소녀가 브래지어를 처음 착용했다.	원인	소녀는 2차 성징이 지나갔다.	소녀는 2차 성징이 시작되었다.	2
811	심판이 출발신호를 불었다.	결과	선수들이 출발선에서 준비했다.	선수들이 출발했다.	2
812	스파이가 적의 위치를 알아냈다.	원인	스파이가 알아낸 정보를 보고했다.	스파이는 적의 휴대폰을 해킹했다.	2
813	SNS에 가게 홍보 이벤트를 열었다.	결과	가게에 오는 손님이 늘었다.	가게에 손님이 오지 않았다.	1
814	탄산음료의 뚜껑을 오래 열어두었다.	결과	탄산음료가 시원해졌다.	탄산음료의 탄산이 다 빠졌다.	2
815	머리카락을 다듬었다.	원인	머리 끝이 많이 상했다.	머리카락에 트리트먼트를 했다.	1
816	남자가 초과근무를 했다.	결과	남자의 마감일이 연장되었다.	남자가 마감일자를 맞췄다.	2
817	신발끈을 고쳐 묶었다.	원인	신발끈 매듭이 풀렸다.	신발끈 매듭이 튼튼했다.	1
818	여자는 숨을 쉬기 어려웠다.	원인	여자는 높은 산을 등반했다.	여자는 높은 산에서 내려왔다.	1
819	새로 산 바지의 사이즈가 너무 컸다.	결과	한 치수가 큰 바지로 교환했다.	더 작은 사이즈의 바지로 교환했다.	2
820	남자가 자동차 와이퍼를 작동시켰다.	원인	물안개가 서리기 시작했다.	소나기가 내리기 시작했다.	2
821	남자의 머리가 금발이 되었다.	원인	남자가 탈색을 했다.	남자가 머리를 밀었다.	1
822	엄마가 찌개에 소금을 더 넣었다.	원인	찌개가 짰다.	찌개의 간이 밍밍했다.	2
823	여자는 손가락에 통증을 느꼈다.	원인	여자는 편도선염을 앓고 있었다.	여자는 류마티즈 관절염을 앓고 있었다.	2
824	방안이 매우 시원했다.	원인	에어컨을 계속 가동했다.	난로를 계속 틀었다.	1
825	남자는 청혼을 승낙했다.	원인	남자는 연인에게 청혼했다.	남자는 연인에게 청혼을 받았다.	2
826	여자는 지갑을 집에 두고 나왔다.	결과	여자는 친구에게 밥을 사주었다.	친구가 여자에게 밥을 사주었다.	2
827	사흘 동안 이를 닦지 않고 잤다.	결과	충치가 생겼다.	치아 건강이 좋아졌다.	2
828	컬러렌즈를 꼈다.	결과	선글라스를 썼다.	눈동자 색이 바뀌었다.	2
829	재채기를 했다.	원인	상쾌한 공기를 마셨다. 	후추가 코에 들어갔다. 	2
830	사람들이 우산을 꺼냈다.	원인	빗방울이 떨어지기 시작했다.	바람이 많이 불었다.	1
831	여자가 기억상실증에 걸렸다.	원인	여자가 교통사고를 목격했다.	여자가 교통사고를 당했다.	2
832	자동차를 오래 운전했다.	결과	자동차의 연료가 다 떨어졌다.	자동차의 연료가 가득했다.	1
833	그는 먼 도시로 이사를 갔다.	원인	그는 새로운 도시 근처에 직장을 구했다.	그는 현재 사는 곳 근처에 직장을 구했다.	1
834	여자는 스트레스를 받았다.	결과	위경련이 일어났다.	위경련이 진정되었다.	2
835	돼지고기의 육질이 부드러워졌다.	원인	돼지고기를 고기망치로 두드렸다.	돼지고기를 얼렸다.	1
836	음식에 물을 더 넣었다.	원인	음식이 싱거워졌다.	음식에서 짠 맛이 났다.	2
837	고무장갑을 끼고 설거지를 했는데 손이 젖었다.	원인	고무장갑에 거품이 묻었다.	고무장갑에 구멍이 났다.	2
838	커플이 헤어지기로 결정했다.	원인	서로가 연인이라는 것에 만족했다.	서로 싸우는 것이 지쳤다.	2
839	병원에 입원했다.	원인	뇌종양이 완치되었다.	뇌종양이 발견되었다.	2
840	엘리베이터가 도착했다.	원인	엘리베이터 작동이 멈췄다.	엘리베이터 버튼을 눌렀다.	2
841	항생제에 내성이 생겼다. 	원인	항생제를 남용했다.	항생제를 잘 복용하지 않았다.	1
842	은행에 방문했다.	원인	적금 통장이 만기가 되었다.	주식을 매입했다.	1
843	산모의 진통이 극심했다.	결과	간호사가 산모에게 영양 수액을 놓았다.	간호사가 산모에게 진통제를 놓았다.	2
844	집에 도둑이 들었다.	결과	경찰에 신고했다.	소방서에 신고했다.	1
845	여자가 귀를 막았다.	원인	화재 경보가 크게 울렸다.	연기 냄새가 방 곳곳에 퍼졌다.	1
846	햄스터가 해바라기씨를 먹었다.	원인	주인이 간식통에 해바라기씨를 채웠다.	주인이 간식통에 있는 해바라기씨를 치웠다.	1
847	자동차가 길에서 미끄러졌다.	원인	도로는 열을 받아 뜨거웠다. 	도로는 눈이 와서 얼어있었다.	2
848	블랙 프라이데이 행사가 열렸다.	결과	물건을 반값에 구입했다.	물건을 비싼 가격에 구입했다.	1
849	남성이 SNS에 사진을 올렸다.	결과	남성은 친구의 게시글을 공유했다.	남성의 게시글에 댓글이 달렸다.	2
850	마이크에서 목소리가 나오지 않았다.	결과	마이크의 전원을 켠켰다.	마이크의 전원을 껐다.	1
851	운동화가 찢어졌다.	원인	운동화가 날카로운 물건에 걸렸다.	운동화가 동그란 물건에 부딪혔다.	1
852	날씨가 풀렸다.	결과	반팔을 입었다.	두툼한 털옷을 입었다.	2
853	선풍기를 틀었다.	결과	종이가 바람에 날렸다.	종이가 달라붙었다.	1
854	선반에 먼지가 잔뜩 쌓였다.	원인	선반을 오래 청소하지 않았다.	선반을 매일 닦았다.	1
855	임시 열쇠를 발급받았다.	원인	열쇠를 잃어버렸다.	열쇠를 전달 받았다.	1
856	남자가 심한 우울감을 느꼈다.	결과	남자가 정신과 병원에서 진단을 받았다.	남자가 이비인후과에서 진단을 받았다.	1
857	우유가 다 떨어졌다.	결과	사온 음식을 정리했다.	장을 보러 갔다.	2
858	아빠가 아이가 보던 TV를 껐다.	원인	아이가 자야할 시간이 되었다.	아이가 잠에서 깼다.	1
859	전등 스위치를 내렸다.	결과	촛불이 꺼졌다.	전등불이 꺼졌다.	2
860	내리막에서 썰매를 탔다.	결과	속도가 점점 느려졌다.	속도가 점점 빨라졌다.	2
861	그녀에게 동생이 생겼다.	원인	그녀의 어머니는 불임 진단을 받았다.	그녀의 어머니가 출산하셨다.	2
862	눈떨림 증상이 지속되었다.	결과	여자가 비타민을 복용했다.	여자가 마그네슘을 복용했다.	2
863	여자가 주문한 물건이 배송되지 않았다.	원인	여자의 주문이 누락되었다.	여자의 주문이 정상적으로 접수되었다.	1
864	여자가 손등을 쳤다.	원인	손등 위에 모기가 있었다.	손등이 까졌다.	1
865	아세톤 뚜껑을 열었다.	결과	달콤하고 향기로운 냄새가 난다.	차갑고 화한 약품 냄새가 난다.	2
866	몸에서 좋은 향이 난다.	원인	몸에 향수를 뿌렸다.	 얼굴에 팩을 했다.	1
867	여자가 하는 일에 싫증을 냈다.	원인	여자가 새로운 업무를 부여 받았다.	여자가 한 업무를 반복하여 진행했다.	2
868	눈이 쌓였다.	원인	비가 왔다.	눈이 내렸다.	2
869	방 안에 좋은 향기가 난다.	원인	담배를 피웠다.	방향제를 뿌렸다.	2
870	얼굴에 기름이 많이 꼈다.	결과	기름종이를 사용한다.	머리를 감는다.	1
871	오토바이를 타던 사람이 다리 위에서 떨어졌다.	원인	오토바이의 기름이 떨어졌다.	오토바이가 다리 난간에 부딪혔다.	2
872	알람이 울리지 않았다.	결과	늦잠을 잤다.	잠이 오지 않았다.	1
873	오늘은 아이스 커피를 주문했다. 	원인	커피를 마시지 못한다. 	날씨가 너무 더웠다. 	2
874	자동차가 고장났다.	결과	자동차를 타고 쇼핑몰에 갔다.	자동차 정비소에 갔다.	2
875	어머니를 위한 케이크를 구웠다.	원인	어머니의 생신이었다.	어머니를 위해 선물을 샀다.	1
876	시험 난이도가 높아졌다.	결과	시험 평균 점수가 낮아졌다.	시험을 치르지 않았다.	1
877	교수님께 예쁨을 받았다.	원인	시험을 못봤다.	과제를 잘 했다.	2
878	그는 칫솔에 치약을 묻혔다.	원인	그는 세수를 하려고 한다.	그는 이를 닦으려고 한다.	2
879	반팔을 입었다.	원인	바깥날씨가 춥다.	바깥날씨가 덥다.	2
880	발이 아프다.	원인	1시간 동안 등산을 했다.	텔레비전으로 금강산 정경을 보았다.	1
881	작품을 만졌더니 물감이 묻었다.	원인	물감이 다 말랐다.	물감이 다 마르지 않았다.	2
882	남자는 음주운전을 했다.	결과	남자는 면허를 갱신했다.	남자는 면허를 취소당했다.	2
883	칼날이 섰다.	원인	여자가 칼을 집었다.	여자가 칼날을 갈았다.	2
884	니트가 줄어들었다.	원인	니트를 오래 입었다.	니트를 세탁기에 빨았다.	2
885	어린이날이 되었다.	결과	아이는 부모님께 선물을 드렸다.	아이는 부모님께 선물을 받았다.	2
886	A형 간염이 유행한다.	원인	A형 간염 예방주사를 맞았다.	일본 뇌염 예방주사를 맞았다.	1
887	냉장고를 청소했다.	결과	냉장고 악취가 사라졌다.	냉장고를 수리했다.	1
888	여자가 변호사가 되었다.	원인	여자가 로스쿨 시험에 합격하였다.	여자가 변호사 시험에 합격하였다.	2
889	소년이 가출을 했다.	원인	소년이 부모님과 사이가 좋다.	소년이 부모님과 싸웠다.	2
890	밀가루에 물을 넣고 반죽을 했다.	결과	밀가루가 뭉쳐졌다.	밀가루가 사라졌다.	1
891	오른쪽으로 고개를 돌렸다.	원인	왼쪽에서 소리가 들렸다.	오른쪽에서 소리가 들렸다.	2
892	동생의 코골이 소리가 시끄럽다.	결과	안대를 착용했다.	귀마개를 착용했다.	2
893	도자기를 깨뜨렸다.	원인	도자기를 바닥에 떨어뜨렸다.	도자기를 선반위에 올려두었다.	1
894	별이 사라졌다.	원인	아침이 되었다.	밤이 되었다.	1
895	탈색을 여러번 했다.	원인	밝은 색으로 염색을 하려고 한다.	파마를 하려고 한다.	1
896	발이 아프다.	원인	신발이 맞지 않는다.	신발을 샀다.	1
897	어머니의 이마에 주름이 졌다.	원인	어머니가 이직하셨다.	어머니가 나이를 먹었다.	2
898	벌레에 물린 곳이 간지러웠다.	결과	모기향을 피웠다.	약을 발랐다.	2
899	문자 알림을 보지 못했다.	결과	문자에 바로 답장했다.	문자를 바로 확인하지 못했다.	2
900	칼날이 무뎌졌다.	결과	칼을 갈았다.	칼을 태웠다.	1
901	남성은 알람 소리를 듣지 못했다.	결과	남성은 평소보다 일찍 일어났다.	남성은 평소보다 늦게 일어났다.	2
902	거북이가 헤엄쳤다.	원인	거북이는 바다에 있다.	거북이는 육지에 있다.	1
903	손목이 아프다.	원인	손목 마사지를 했다.	손목이 꺾였다.	2
904	토스트기에 식빵을 넣었다.	결과	정해진 시간이 지난 후, 노릇노릇하게 구워진 식빵이 토스트기에서 나온다.	정해진 시간이 지난 후, 오븐에서 식빵이 나온다.	1
905	케이크를 조금만 구웠다.	결과	케이크가 완벽하게 잘 익었다.	케이크 반죽이 무르다.	2
906	여자가 이어폰을 귀에 꽂았다.	결과	여자가 음악을 듣는다.	여자가 잠을 잔다.	1
907	소변을 오래 참았다.	결과	방광염에 걸렸다.	물을 많이 마셨다.	1
908	여자가 수영복을 입었다.	원인	여자가 물에 들어가려고 한다.	여자가 스카이다이빙을 하려고 한다.	1
909	한 달이 지나 2월에서 3월이 되었다.	결과	달력을 구입했다.	달력을 한 장 뜯었다.	2
910	고양이가 내 품에 안겼다.	결과	고양이를 다른 집에 잠시 맡겼다.	고양이 털이 옷에 잔뜩 붙었다.	2
911	국민들이 민주화 운동을 한다.	원인	해당 국가가 민주화되지 않았다.	해당 국가가 완전히 민주화되었다.	1
912	땀이 난다.	원인	더운 여름 날 땡볕 아래 서있었다.	겨울날 눈을 맞으며 서있었다.	1
913	사진의 빛이 바랬다.	원인	사진이 오래되었다.	사진을 어제 인화했다.	1
914	길을 잃었다.	결과	지나가는 사람에게 길을 물어봤다.	지도를 그렸다.	1
915	물에 전분을 넣었다.	결과	물이 걸쭉해졌다.	물이 차가워졌다.	1
916	커피를 네 잔 마셨다.	결과	커피를 엎었다.	잠이 오지 않았다.	2
917	사람들이 반팔을 입기 시작했다.	원인	기온이 높아졌다.	기온이 낮아졌다.	1
918	학생은 한 시간 동안 손을 들고 서 있었다.	결과	학생의 팔이 저리다.	학생의 팔이 길어졌다.	1
919	새가 날 수 없다. 	원인	새가 날개에 상처를 입었다. 	새가 겨울을 맞아 다른 곳으로 이동했다.	1
920	핸드폰이 방전되었다.	원인	핸드폰을 2일간 충전시켰다.	핸드폰을 2일간 충전시키지 않았다.	2
921	무릎에 밴드를 붙였다.	원인	무릎에 상처가 났다.	무릎 관절이 쑤신다.	1
922	여성이 영화관에서 본인 자리에 앉지 못했다.	원인	본인 자리에 누군가 앉아있었다.	영화관에 사람이 아무도 없었다.	1
923	돈을 잃었다.	원인	보이스피싱을 당했다.	보이스피싱을 했다.	1
924	남자가 잔디를 깎는다.	원인	잔디가 적당히 자라나 있다.	잔디가 일정 수준 이상으로 많이 자랐다.	2
925	물안경을 썼다.	원인	수영장에 갔다.	스케이트장에 갔다.	1
926	은행나무 열매가 바닥에 떨어졌다.	결과	길에서 은행 냄새가 난다.	은행 열매가 맺혔다.	1
927	화분에 지지대를 꽂았다.	원인	넝쿨이 많이 자랐다.	넝쿨이 자라지 않았다.	1
928	여성의 직업은 교도관이다.	결과	여성은 경찰서로 출근한다.	여성은 감옥으로 출근한다.	2
929	피해자가 고소를 했다.	결과	재판이 종료되었다.	재판이 열렸다.	2
930	여자가 반죽에 이스트 가루를 넣고 오븐에 넣었다.	결과	빵이 딱딱하게 굳었다.	빵이 부풀어 올랐다.	2
931	계란을 바닥에 떨어트렸다.	결과	계란이 익었다.	계란이 깨졌다.	2
932	축구선수가 골을 넣었다.	결과	관중이 환호성을 질렀다.	관중이 유니폼을 질렀다.	1
933	남자가 수감되었다.	원인	남자는 피해자다.	남자는 범죄자다.	2
934	그는 담배를 피고 싶어한다.	원인	그는 니코틴 중독이다.	그는 알코올 중독이다.	1
935	자는 도중에 추위를 느꼈다.	결과	이불을 덮었다.	이불을 걷었다.	1
936	한글 키보드가 영어 키보드로 전환되었다.	원인	한/영 전환키를 눌렀다.	스페이스바를 눌렀다.	1
937	핸드폰 배터리가 방전되었다.	결과	핸드폰을 충전기에 연결하였다.	핸드폰을 오래 사용했다.	1
938	아기가 울고 있다.	원인	아기의 기저귀가 젖었다.	아기의 새로운 장난감이 생겼다.	1
939	남성은 휴대폰을 잃어버렸다.	결과	남성은 휴대폰을 꺼냈다.	남성은 휴대폰을 새로 구입했다.	2
940	남자는 지문이 다 닳았다.	결과	남자는 지문을 남겼다.	남자는 지문인식이 되지 않는다.	2
941	수정테이프로 글자를 지웠다.	원인	수정테이프를 잘못 샀다.	글자를 잘못 썼다.	2
942	필름 사진을 인화했다.	결과	사진을 받았다.	사진을 찍었다.	1
943	남성의 실수로 사고가 발생했다.	결과	남성은 식사를 한다.	남성은 죄책감을 느낀다.	2
